ID,trial,Age,Sex,Race,condition,adaptor,voice,pitch.judgement,attraction,masculinity,likability,friends,typicality
26,9,32,2,1,atypical,721,714,3,4,6,5,5,7
26,10,32,2,1,atypical,744,716,2,4,7,6,5,7
26,11,32,2,1,atypical,737,719,2,6,6,6,6,7
26,12,32,2,1,atypical,744,722,2,7,7,7,7,7
26,13,32,2,1,atypical,748,730,2,4,7,5,5,7
26,14,32,2,1,atypical,721,733,1,7,6,7,6,7
26,15,32,2,1,atypical,750,736,2,5,7,6,6,7
26,16,32,2,1,atypical,748,740,2,6,6,6,6,7
26,17,32,2,1,atypical,750,743,2,7,7,7,7,7
26,18,32,2,1,atypical,737,745,2,6,5,7,6,7
26,19,32,2,1,atypical,744,746,2,7,7,7,7,7
26,20,32,2,1,atypical,721,749,2,7,7,7,7,8
27,1,33,2,4,typical,750,701,1,3,2,4,5,4
27,2,33,2,4,typical,721,703,1,3,4,3,5,5
27,3,33,2,4,typical,737,704,3,1,1,2,6,6
27,4,33,2,4,typical,744,706,1,6,6,6,5,6
27,5,33,2,4,typical,748,707,3,3,2,2,5,5
27,6,33,2,4,typical,737,709,1,6,6,6,6,7
27,7,33,2,4,typical,750,710,3,4,4,5,6,6
