ID,trial,Age,Sex,Race,target.sex,condition,adaptor,voice,pitch.judgement,attraction,masc.fem,likability,friends,typicality
6,5,24,2,4,female,masc,354,413,3,7,9,8,8,2
6,6,24,2,4,female,masc,354,406,1,9,9,9,9,5
6,7,24,2,4,female,masc,128,380,1,7,5,3,4,3
6,8,24,2,4,female,masc,173,371,3,6,5,6,6,6
6,9,24,2,4,female,masc,365,367,3,6,5,7,6,7
6,10,24,2,4,female,masc,377,354,1,9,9,9,9,7
6,11,24,2,4,female,masc,173,338,1,7,6,7,7,5
6,12,24,2,4,female,masc,377,333,3,7,5,7,7,4
6,13,24,2,4,female,masc,128,323,1,3,3,3,2,5
6,14,24,2,4,female,masc,354,319,3,5,5,6,5,4
6,15,24,2,4,female,masc,365,315,3,5,5,5,5,5
6,16,24,2,4,female,masc,128,199,3,7,6,7,7,3
6,17,24,2,4,female,masc,354,144,3,9,9,9,9,6
6,18,24,2,4,female,masc,173,121,1,9,8,9,9,3
6,19,24,2,4,female,masc,365,112,3,8,6,9,9,4
6,20,24,2,4,female,masc,377,103,1,8,8,9,9,1
6,21,24,2,4,male,masc,721,749,1,6,7,7,6,5
6,22,24,2,4,male,masc,744,746,3,6,6,6,6,5
6,23,24,2,4,male,masc,737,745,1,7,5,6,4,3
6,24,24,2,4,male,masc,750,743,2,8,5,7,7,1
6,25,24,2,4,male,masc,748,740,1,4,4,5,5,4
6,26,24,2,4,male,masc,750,736,3,6,4,5,5,8
6,27,24,2,4,male,masc,721,733,1,4,3,7,5,9
6,28,24,2,4,male,masc,748,730,3,6,6,7,6,2
6,29,24,2,4,male,masc,744,722,3,8,7,8,8,5
6,30,24,2,4,male,masc,737,719,1,4,3,4,2,3
6,31,24,2,4,male,masc,744,716,3,2,1,3,1,5
6,32,24,2,4,male,masc,721,714,1,3,3,1,1,9
6,33,24,2,4,male,masc,748,713,3,4,5,5,5,4
6,34,24,2,4,male,masc,750,710,3,8,6,8,9,7
6,35,24,2,4,male,masc,737,709,1,6,4,7,8,5
6,36,24,2,4,male,masc,748,707,1,2,1,2,1,9
6,37,24,2,4,male,masc,744,706,1,6,6,5,6,2
6,38,24,2,4,male,masc,737,704,1,2,1,5,2,6
6,39,24,2,4,male,masc,721,703,1,9,6,9,9,4
6,40,24,2,4,male,masc,750,701,3,3,1,6,2,6
7,1,19,2,3,female,masc,377,103,1,6,8,8,9,5
7,2,19,2,3,female,masc,365,112,1,3,4,7,6,7
7,3,19,2,3,female,masc,173,121,1,6,7,8,8,5
7,4,19,2,3,female,masc,354,144,1,7,9,7,6,6
7,5,19,2,3,female,masc,128,199,1,3,5,4,2,6
7,6,19,2,3,female,masc,365,315,1,6,8,6,8,5
7,7,19,2,3,female,masc,354,319,1,7,8,8,9,5
7,8,19,2,3,female,masc,128,323,1,1,6,1,1,9
7,9,19,2,3,female,masc,377,333,1,3,8,2,1,5
7,10,19,2,3,female,masc,173,338,1,1,7,1,1,9
7,11,19,2,3,female,masc,377,354,1,6,9,5,4,5
7,12,19,2,3,female,masc,365,367,2,9,5,9,9,3
7,13,19,2,3,female,masc,173,371,1,1,9,1,1,9
7,14,19,2,3,female,masc,128,380,2,9,4,9,9,2
7,15,19,2,3,female,masc,354,406,2,5,8,5,4,7
7,16,19,2,3,female,masc,354,413,2,1,9,1,1,7
7,17,19,2,3,female,masc,377,417,2,1,7,1,1,9
7,18,19,2,3,female,masc,365,437,2,5,4,5,5,4
7,19,19,2,3,female,masc,173,508,3,6,3,7,8,4
7,20,19,2,3,female,masc,128,663,2,4,4,6,6,4
7,21,19,2,3,male,masc,750,701,3,9,6,9,9,3
7,22,19,2,3,male,masc,721,703,1,2,7,2,1,7
7,23,19,2,3,male,masc,737,704,1,5,4,5,7,7
7,24,19,2,3,male,masc,744,706,1,9,7,9,9,3
7,25,19,2,3,male,masc,748,707,1,1,6,1,1,9
7,26,19,2,3,male,masc,737,709,1,2,9,2,2,8
7,27,19,2,3,male,masc,750,710,1,9,9,9,9,2
7,28,19,2,3,male,masc,748,713,1,1,9,1,1,8
7,29,19,2,3,male,masc,721,714,1,1,9,1,1,9
7,30,19,2,3,male,masc,744,716,1,4,7,6,6,5
