ID,trial,Computer,Age,Sex,Race,Politics,SO,Education,target.sex,condition,adaptor,voice,pitch.judgement,attraction,masc.fem,likability,friends,typicality
5,18,9,18,1,4,1,1,2,female,atypical,365,437,1,8,6,8,7,8
5,19,9,18,1,4,1,1,2,female,atypical,173,508,1,3,6,6,2,6
5,20,9,18,1,4,1,1,2,female,atypical,128,663,2,6,6,7,5,6
5,21,9,18,1,4,1,1,2,male,atypical,750,701,2,4,5,6,4,5
5,22,9,18,1,4,1,1,2,male,atypical,721,703,1,5,5,6,4,7
5,23,9,18,1,4,1,1,2,male,atypical,737,704,2,3,4,6,3,5
5,24,9,18,1,4,1,1,2,male,atypical,744,706,2,5,5,7,4,6
5,25,9,18,1,4,1,1,2,male,atypical,748,707,2,7,7,8,6,7
5,26,9,18,1,4,1,1,2,male,atypical,737,709,1,4,6,5,4,6
5,27,9,18,1,4,1,1,2,male,atypical,750,710,2,6,6,5,5,7
5,28,9,18,1,4,1,1,2,male,atypical,748,713,2,3,7,5,4,6
5,29,9,18,1,4,1,1,2,male,atypical,721,714,2,8,7,8,8,7
5,30,9,18,1,4,1,1,2,male,atypical,744,716,2,3,6,5,4,6
5,31,9,18,1,4,1,1,2,male,atypical,737,719,2,4,6,5,3,5
5,32,9,18,1,4,1,1,2,male,atypical,744,722,2,7,8,8,8,7
5,33,9,18,1,4,1,1,2,male,atypical,748,730,2,3,5,5,5,6
5,34,9,18,1,4,1,1,2,male,atypical,721,733,1,7,7,8,8,7
5,35,9,18,1,4,1,1,2,male,atypical,750,736,2,8,7,8,7,7
5,36,9,18,1,4,1,1,2,male,atypical,748,740,2,5,5,6,4,6
5,37,9,18,1,4,1,1,2,male,atypical,750,743,2,3,4,6,5,5
5,38,9,18,1,4,1,1,2,male,atypical,737,745,1,4,8,6,4,7
5,39,9,18,1,4,1,1,2,male,atypical,744,746,2,6,8,6,5,6
5,40,9,18,1,4,1,1,2,male,atypical,721,749,1,5,6,7,5,6
6,1,4,31,1,5,4,6,4,male,typical,750,701,1,4,2,5,3,6
