ID,trial,Age,Sex,Race,target.sex,condition,adaptor,voice,pitch.judgement,attraction,masc.fem,likability,friends,typicality
11,4,22,2,1,male,typical,744,706,2,5,5,5,4,6
11,5,22,2,1,male,typical,748,707,1,4,4,5,6,6
11,6,22,2,1,male,typical,737,709,1,7,6,9,8,5
11,7,22,2,1,male,typical,750,710,1,4,4,4,3,5
11,8,22,2,1,male,typical,748,713,1,1,2,1,1,3
11,9,22,2,1,male,typical,721,714,1,7,7,4,3,4
11,10,22,2,1,male,typical,744,716,2,2,3,6,3,6
11,11,22,2,1,male,typical,737,719,3,7,7,8,7,6
11,12,22,2,1,male,typical,744,722,3,8,7,9,9,6
11,13,22,2,1,male,typical,748,730,2,6,6,8,7,7
11,14,22,2,1,male,typical,721,733,1,5,4,6,2,4
11,15,22,2,1,male,typical,750,736,3,4,6,5,6,7
11,16,22,2,1,male,typical,748,740,2,8,8,6,7,6
11,17,22,2,1,male,typical,750,743,2,7,2,7,7,4
11,18,22,2,1,male,typical,737,745,1,4,6,6,3,6
11,19,22,2,1,male,typical,744,746,2,5,5,8,7,7
11,20,22,2,1,male,typical,721,749,1,6,5,6,8,7
11,21,22,2,1,female,typical,377,103,2,6,6,2,2,6
11,22,22,2,1,female,typical,365,122,1,8,7,8,8,8
11,23,22,2,1,female,typical,173,121,3,7,7,8,8,6
11,24,22,2,1,female,typical,354,144,3,5,6,4,3,7
11,25,22,2,1,female,typical,128,199,3,8,7,8,8,8
11,26,22,2,1,female,typical,365,315,2,4,6,7,6,7
11,27,22,2,1,female,typical,354,319,3,6,7,7,7,7
11,28,22,2,1,female,typical,128,323,3,4,5,3,2,5
11,29,22,2,1,female,typical,377,333,2,6,6,6,4,5
11,30,22,2,1,female,typical,173,338,3,6,6,8,8,8
11,31,22,2,1,female,typical,377,354,2,7,7,8,8,8
11,32,22,2,1,female,typical,365,367,2,7,6,7,8,7
11,33,22,2,1,female,typical,173,371,2,6,8,6,4,7
11,34,22,2,1,female,typical,128,380,3,6,5,6,7,5
11,35,22,2,1,female,typical,354,406,2,7,8,7,6,6
11,36,22,2,1,female,typical,354,413,3,5,7,6,3,5
11,37,22,2,1,female,typical,377,417,2,6,6,8,8,7
11,38,22,2,1,female,typical,365,437,3,4,5,7,9,6
11,39,22,2,1,female,typical,173,508,2,3,4,5,5,7
11,40,22,2,1,female,typical,128,663,2,7,7,7,7,7
