ID,trial,Age,Sex,Race,condition,adaptor,voice,pitch.judgement,attraction,femininity,likability,friends,typicality
14,20,38,1,4,atypical,377,103,1,6,6,5,5,4
15,1,21,1,1,typical,128,663,2,3,2,4,3,4
15,2,21,1,1,typical,173,508,2,1,2,6,3,3
15,3,21,1,1,typical,365,437,2,4,4,5,4,4
15,4,21,1,1,typical,377,417,1,4,4,3,5,5
15,5,21,1,1,typical,354,413,2,4,6,4,4,3
15,6,21,1,1,typical,354,406,1,4,6,4,5,4
15,7,21,1,1,typical,128,380,3,2,2,2,2,2
15,8,21,1,1,typical,173,371,3,3,3,3,2,2
15,9,21,1,1,typical,365,367,2,2,2,4,4,3
15,10,21,1,1,typical,377,354,3,1,1,1,1,1
15,11,21,1,1,typical,173,338,2,2,2,3,2,1
15,12,21,1,1,typical,377,333,2,4,3,2,2,2
15,13,21,1,1,typical,128,323,2,2,3,4,4,3
15,14,21,1,1,typical,354,319,2,8,5,4,4,4
15,15,21,1,1,typical,365,315,2,3,4,5,5,4
15,16,21,1,1,typical,128,199,2,4,4,4,3,3
15,17,21,1,1,typical,354,144,3,5,4,4,5,4
15,18,21,1,1,typical,173,121,1,2,3,3,3,3
15,19,21,1,1,typical,365,112,2,3,4,4,4,5
15,20,21,1,1,typical,377,103,3,2,2,2,2,2
16,1,23,1,4,typical,377,103,2,6,6,6,6,5
16,2,23,1,4,typical,365,122,3,7,7,7,6,4
16,3,23,1,4,typical,173,121,2,6,7,7,6,7
16,4,23,1,4,typical,354,144,2,6,7,7,6,6
16,5,23,1,4,typical,128,199,3,7,7,7,6,7
16,6,23,1,4,typical,365,315,3,7,7,7,6,4
16,7,23,1,4,typical,354,319,2,7,7,7,6,5
16,8,23,1,4,typical,128,323,2,7,6,7,5,4
16,9,23,1,4,typical,377,333,2,7,7,7,6,3
16,10,23,1,4,typical,173,338,2,7,7,7,6,5
16,11,23,1,4,typical,377,354,3,7,7,7,6,4
16,12,23,1,4,typical,365,367,3,6,6,6,6,6
16,13,23,1,4,typical,173,371,2,7,7,7,7,7
16,14,23,1,4,typical,128,380,3,7,6,7,5,2
16,15,23,1,4,typical,354,406,2,7,7,7,5,5
16,16,23,1,4,typical,354,413,2,7,7,6,5,3
16,17,23,1,4,typical,377,417,2,7,7,7,5,3
16,18,23,1,4,typical,365,437,2,7,7,7,5,6
16,19,23,1,4,typical,173,508,3,4,4,7,5,3
16,20,23,1,4,typical,128,663,2,7,7,3,5,4
17,1,55,1,4,atypical,128,663,1,4,4,5,5,5
17,2,55,1,4,atypical,173,508,1,6,6,6,6,6
17,3,55,1,4,atypical,365,437,2,6,6,6,6,6
17,4,55,1,4,atypical,377,417,1,7,7,8,8,6
17,5,55,1,4,atypical,354,413,1,7,8,7,7,6
17,6,55,1,4,atypical,354,406,3,7,7,7,7,6
17,7,55,1,4,atypical,128,380,1,4,4,5,5,5
17,8,55,1,4,atypical,173,371,1,5,6,5,5,5
17,9,55,1,4,atypical,365,367,2,6,5,5,6,5
17,10,55,1,4,atypical,377,354,1,8,8,8,7,6
17,11,55,1,4,atypical,173,338,1,6,6,7,6,6
17,12,55,1,4,atypical,377,333,1,8,8,7,7,5
17,13,55,1,4,atypical,128,323,2,7,6,7,7,6
17,14,55,1,4,atypical,354,319,3,6,7,6,6,5
17,15,55,1,4,atypical,365,315,2,6,6,5,5,4
17,16,55,1,4,atypical,128,199,2,8,7,7,7,5
17,17,55,1,4,atypical,354,144,2,5,5,6,6,7
17,18,55,1,4,atypical,173,121,1,6,6,5,6,5
17,19,55,1,4,atypical,365,112,2,7,6,6,7,6
17,20,55,1,4,atypical,377,103,1,7,6,7,7,6
18,1,34,1,4,typical,377,103,2,7,7,7,6,4
18,2,34,1,4,typical,365,122,3,7,7,7,7,6
18,3,34,1,4,typical,173,121,2,5,7,6,6,4
18,4,34,1,4,typical,354,144,2,7,7,6,7,4
18,5,34,1,4,typical,128,199,2,3,4,4,4,6
18,6,34,1,4,typical,365,315,2,5,5,4,5,7
18,7,34,1,4,typical,354,319,2,8,8,8,8,3
18,8,34,1,4,typical,128,323,3,3,5,3,2,6
18,9,34,1,4,typical,377,333,2,6,6,6,5,6
18,10,34,1,4,typical,173,338,2,5,7,4,4,6
18,11,34,1,4,typical,377,354,2,7,7,7,7,5
18,12,34,1,4,typical,365,367,3,7,6,6,7,5
18,13,34,1,4,typical,173,371,2,5,6,4,4,6
18,14,34,1,4,typical,128,380,2,3,4,3,3,3
18,15,34,1,4,typical,354,406,3,8,7,8,8,3
18,16,34,1,4,typical,354,413,3,8,8,9,8,3
18,17,34,1,4,typical,377,417,2,6,6,6,5,7
18,18,34,1,4,typical,365,437,2,5,5,4,5,6
18,19,34,1,4,typical,173,508,2,8,8,8,8,3
18,20,34,1,4,typical,128,663,2,4,6,5,5,6
19,1,32,1,4,atypical,377,103,2,7,5,7,8,7
19,2,32,1,4,atypical,365,112,2,9,9,9,9,9
19,3,32,1,4,atypical,173,121,1,9,9,9,9,9
19,4,32,1,4,atypical,354,144,3,9,9,9,9,9
19,5,32,1,4,atypical,128,199,1,9,8,8,9,8
19,6,32,1,4,atypical,365,315,1,5,6,4,7,7
19,7,32,1,4,atypical,354,319,2,7,7,8,8,8
19,8,32,1,4,atypical,128,323,3,9,8,8,9,8
19,9,32,1,4,atypical,377,333,1,7,7,7,7,8
19,10,32,1,4,atypical,173,338,2,8,8,8,7,8
19,11,32,1,4,atypical,377,354,1,9,9,9,9,8
19,12,32,1,4,atypical,365,367,3,8,9,8,9,8
19,13,32,1,4,atypical,173,371,2,9,7,8,9,9
19,14,32,1,4,atypical,128,380,1,8,9,8,9,8
19,15,32,1,4,atypical,354,406,1,9,9,9,9,9
19,16,32,1,4,atypical,354,413,3,9,9,8,8,9
19,17,32,1,4,atypical,377,417,1,9,8,9,9,9
19,18,32,1,4,atypical,365,437,1,9,7,8,8,8
19,19,32,1,4,atypical,173,508,1,9,9,9,9,9
19,20,32,1,4,atypical,128,663,1,8,9,9,8,9
20,1,33,1,4,typical,128,663,1,7,4,7,6,4
20,2,33,1,4,typical,173,508,2,6,7,6,6,6
20,3,33,1,4,typical,365,437,2,6,4,5,5,5
20,4,33,1,4,typical,377,417,2,6,7,7,6,7
20,5,33,1,4,typical,354,413,2,7,7,7,6,5
20,6,33,1,4,typical,354,406,3,7,7,7,7,6
20,7,33,1,4,typical,128,380,2,7,6,6,6,5
20,8,33,1,4,typical,173,371,2,6,5,6,6,6
20,9,33,1,4,typical,365,367,2,6,4,6,6,5
20,10,33,1,4,typical,377,354,2,4,4,5,4,4
20,11,33,1,4,typical,173,338,2,5,5,5,5,6
20,12,33,1,4,typical,377,333,2,6,4,5,5,5
20,13,33,1,4,typical,128,323,2,3,4,4,4,3
20,14,33,1,4,typical,354,319,2,7,7,7,6,6
20,15,33,1,4,typical,365,315,2,7,6,7,6,6
20,16,33,1,4,typical,128,199,2,5,5,6,5,5
20,17,33,1,4,typical,354,144,2,6,6,6,6,6
20,18,33,1,4,typical,173,121,2,5,4,5,5,4
20,19,33,1,4,typical,365,112,2,6,5,6,6,5
20,20,33,1,4,typical,377,103,2,4,7,4,3,5
21,1,39,2,4,atypical,128,663,1,7,8,6,6,6
21,2,39,2,4,atypical,173,508,1,8,8,8,8,6
21,3,39,2,4,atypical,365,437,1,9,8,4,2,5
21,4,39,2,4,atypical,377,417,1,8,8,7,6,6
21,5,39,2,4,atypical,354,413,1,8,9,5,4,4
21,6,39,2,4,atypical,354,406,1,9,9,7,6,6
21,7,39,2,4,atypical,128,380,1,8,7,8,7,2
21,8,39,2,4,atypical,173,371,1,8,8,8,7,6
21,9,39,2,4,atypical,365,367,1,7,8,6,5,6
21,10,39,2,4,atypical,377,354,1,8,9,6,4,5
21,11,39,2,4,atypical,173,338,1,8,8,7,6,6
21,12,39,2,4,atypical,377,333,1,7,9,5,2,3
21,13,39,2,4,atypical,128,323,1,7,6,6,6,5
21,14,39,2,4,atypical,354,319,1,8,8,8,6,3
21,15,39,2,4,atypical,365,315,1,8,9,4,2,4
21,16,39,2,4,atypical,128,199,1,7,7,4,2,3
21,17,39,2,4,atypical,354,144,1,9,8,8,8,6
21,18,39,2,4,atypical,173,121,1,8,8,7,7,6
21,19,39,2,4,atypical,365,112,1,8,7,7,7,6
21,20,39,2,4,atypical,377,103,1,9,9,8,6,6
22,1,36,2,4,atypical,377,103,1,6,6,6,5,5
22,2,36,2,4,atypical,365,112,1,9,7,9,9,7
22,3,36,2,4,atypical,173,121,1,8,7,7,6,6
22,4,36,2,4,atypical,354,144,1,7,7,7,7,7
22,5,36,2,4,atypical,128,199,1,8,8,8,8,8
22,6,36,2,4,atypical,365,315,1,6,7,6,6,5
22,7,36,2,4,atypical,354,319,1,7,7,6,5,7
22,8,36,2,4,atypical,128,323,1,5,5,7,7,7
22,9,36,2,4,atypical,377,333,1,7,6,6,6,6
22,10,36,2,4,atypical,173,338,1,7,7,6,6,6
22,11,36,2,4,atypical,377,354,1,7,7,6,6,6
22,12,36,2,4,atypical,365,367,1,7,6,7,6,7
22,13,36,2,4,atypical,173,371,1,8,7,7,6,6
22,14,36,2,4,atypical,128,380,1,7,6,7,6,5
22,15,36,2,4,atypical,354,406,1,8,8,7,7,7
22,16,36,2,4,atypical,354,413,1,9,9,6,6,6
22,17,36,2,4,atypical,377,417,1,7,5,7,7,7
22,18,36,2,4,atypical,365,437,1,8,7,6,6,7
22,19,36,2,4,atypical,173,508,1,5,5,8,8,7
22,20,36,2,4,atypical,128,663,2,6,5,7,7,7
23,1,21,2,4,atypical,377,103,1,8,8,9,7,8
23,2,21,2,4,atypical,365,112,1,7,7,8,7,9
23,3,21,2,4,atypical,173,121,3,6,7,6,6,8
23,4,21,2,4,atypical,354,144,3,7,8,8,7,8
23,5,21,2,4,atypical,128,199,3,7,7,7,7,9
23,6,21,2,4,atypical,365,315,1,8,8,8,7,8
23,7,21,2,4,atypical,354,319,2,7,8,8,7,8
23,8,21,2,4,atypical,128,323,3,6,6,6,5,8
23,9,21,2,4,atypical,377,333,1,5,6,6,5,7
23,10,21,2,4,atypical,173,338,1,7,8,7,7,7
23,11,21,2,4,atypical,377,354,1,8,8,7,6,7
23,12,21,2,4,atypical,365,367,3,8,7,8,7,7
23,13,21,2,4,atypical,173,371,3,7,8,7,6,7
23,14,21,2,4,atypical,128,380,2,7,6,7,6,6
