ID,trial,Computer,Age,Sex,SO,Race,Politics,Education,condition,adaptor,voice,pitch.judgement,attraction,femininity,likability,friends,typicality
10,19,1,47,1,1,4,2,5,atypical,365,112,3,7,7,7,7,7
10,20,1,47,1,1,4,2,5,atypical,377,103,3,8,8,8,8,8
11,1,1,19,2,2,4,5,3,typical,377,103,2,3,4,8,8,7
11,2,1,19,2,2,4,5,3,typical,365,122,2,8,7,8,8,7
11,3,1,19,2,2,4,5,3,typical,173,121,2,9,8,9,9,6
11,4,1,19,2,2,4,5,3,typical,354,144,2,8,8,9,9,6
11,5,1,19,2,2,4,5,3,typical,128,199,3,6,5,6,6,7
11,6,1,19,2,2,4,5,3,typical,365,315,2,5,5,5,4,5
11,7,1,19,2,2,4,5,3,typical,354,319,3,8,8,8,8,8
11,8,1,19,2,2,4,5,3,typical,128,323,3,2,2,3,3,4
11,9,1,19,2,2,4,5,3,typical,377,333,2,4,3,4,6,5
11,10,1,19,2,2,4,5,3,typical,173,338,2,7,8,7,7,7
11,11,1,19,2,2,4,5,3,typical,377,354,3,5,8,5,4,6
11,12,1,19,2,2,4,5,3,typical,365,367,2,7,6,7,7,6
11,13,1,19,2,2,4,5,3,typical,173,371,2,4,4,4,4,5
11,14,1,19,2,2,4,5,3,typical,128,380,2,7,4,5,7,3
11,15,1,19,2,2,4,5,3,typical,354,406,3,2,8,2,2,5
11,16,1,19,2,2,4,5,3,typical,354,413,3,8,8,8,8,7
11,17,1,19,2,2,4,5,3,typical,377,417,3,3,4,4,4,5
11,18,1,19,2,2,4,5,3,typical,365,437,3,6,5,5,5,6
11,19,1,19,2,2,4,5,3,typical,173,508,2,9,8,9,9,4
11,20,1,19,2,2,4,5,3,typical,128,663,2,7,6,7,8,6
12,1,6,28,1,1,4,5,5,atypical,377,103,1,4,6,6,7,6
12,2,6,28,1,1,4,5,5,atypical,365,112,3,6,5,5,6,4
12,3,6,28,1,1,4,5,5,atypical,173,121,1,6,7,7,7,3
12,4,6,28,1,1,4,5,5,atypical,354,144,1,8,8,9,9,1
12,5,6,28,1,1,4,5,5,atypical,128,199,1,5,5,6,6,9
12,6,6,28,1,1,4,5,5,atypical,365,315,1,3,5,3,3,1
12,7,6,28,1,1,4,5,5,atypical,354,319,1,7,7,6,8,4
12,8,6,28,1,1,4,5,5,atypical,128,323,1,3,7,5,5,6
12,9,6,28,1,1,4,5,5,atypical,377,333,1,2,2,1,1,2
12,10,6,28,1,1,4,5,5,atypical,173,338,1,5,4,5,5,3
12,11,6,28,1,1,4,5,5,atypical,377,354,1,3,6,2,3,1
12,12,6,28,1,1,4,5,5,atypical,365,367,1,2,2,1,2,2
12,13,6,28,1,1,4,5,5,atypical,173,371,1,6,6,6,7,9
12,14,6,28,1,1,4,5,5,atypical,128,380,1,8,7,8,8,2
12,15,6,28,1,1,4,5,5,atypical,354,406,1,9,9,9,9,1
12,16,6,28,1,1,4,5,5,atypical,354,413,1,9,9,9,9,2
12,17,6,28,1,1,4,5,5,atypical,377,417,1,2,4,3,3,5
12,18,6,28,1,1,4,5,5,atypical,365,437,1,2,2,4,4,2
12,19,6,28,1,1,4,5,5,atypical,173,508,1,1,1,3,3,1
12,20,6,28,1,1,4,5,5,atypical,128,663,1,3,4,4,5,2
13,1,4,21,2,3,3,5,2,typical,128,663,2,7,5,6,7,6
13,2,4,21,2,3,3,5,2,typical,173,508,2,3,3,4,5,5
13,3,4,21,2,3,3,5,2,typical,365,437,2,4,4,4,4,4
13,4,4,21,2,3,3,5,2,typical,377,417,2,2,2,2,2,2
13,5,4,21,2,3,3,5,2,typical,354,413,2,2,5,4,4,5
13,6,4,21,2,3,3,5,2,typical,354,406,2,7,8,7,7,7
13,7,4,21,2,3,3,5,2,typical,128,380,1,1,1,1,1,1
13,8,4,21,2,3,3,5,2,typical,173,371,1,4,4,4,4,4
13,9,4,21,2,3,3,5,2,typical,365,367,2,1,1,1,2,1
13,10,4,21,2,3,3,5,2,typical,377,354,2,2,2,3,3,3
13,11,4,21,2,3,3,5,2,typical,173,338,2,2,2,2,2,2
13,12,4,21,2,3,3,5,2,typical,377,333,2,6,4,6,7,6
13,13,4,21,2,3,3,5,2,typical,128,323,2,5,4,5,6,5
13,14,4,21,2,3,3,5,2,typical,354,319,2,2,2,3,3,3
13,15,4,21,2,3,3,5,2,typical,365,315,2,2,2,3,3,3
13,16,4,21,2,3,3,5,2,typical,128,199,3,5,3,5,5,5
13,17,4,21,2,3,3,5,2,typical,354,144,2,4,4,5,5,5
13,18,4,21,2,3,3,5,2,typical,173,121,2,8,5,7,8,8
13,19,4,21,2,3,3,5,2,typical,365,112,2,7,3,5,6,5
13,20,4,21,2,3,3,5,2,typical,377,103,2,3,3,4,3,4
14,1,6,38,1,1,4,4,3,atypical,128,663,2,5,5,5,5,6
14,2,6,38,1,1,4,4,3,atypical,173,508,2,4,5,6,5,6
14,3,6,38,1,1,4,4,3,atypical,365,437,2,5,4,5,4,4
14,4,6,38,1,1,4,4,3,atypical,377,417,1,6,6,5,5,6
14,5,6,38,1,1,4,4,3,atypical,354,413,2,6,7,7,6,6
14,6,6,38,1,1,4,4,3,atypical,354,406,2,7,8,7,6,6
14,7,6,38,1,1,4,4,3,atypical,128,380,1,6,5,4,5,5
14,8,6,38,1,1,4,4,3,atypical,173,371,1,4,6,5,4,6
14,9,6,38,1,1,4,4,3,atypical,365,367,2,4,5,5,5,6
14,10,6,38,1,1,4,4,3,atypical,377,354,1,5,6,6,5,6
14,11,6,38,1,1,4,4,3,atypical,173,338,1,6,6,6,5,6
14,12,6,38,1,1,4,4,3,atypical,377,333,1,6,6,6,5,5
14,13,6,38,1,1,4,4,3,atypical,128,323,2,5,5,5,4,6
14,14,6,38,1,1,4,4,3,atypical,354,319,1,5,6,6,5,6
14,15,6,38,1,1,4,4,3,atypical,365,315,2,5,6,5,5,4
14,16,6,38,1,1,4,4,3,atypical,128,199,1,6,5,6,4,5
14,17,6,38,1,1,4,4,3,atypical,354,144,2,6,6,6,5,6
14,18,6,38,1,1,4,4,3,atypical,173,121,1,5,6,6,6,5
14,19,6,38,1,1,4,4,3,atypical,365,112,2,6,6,6,5,6
14,20,6,38,1,1,4,4,3,atypical,377,103,1,6,6,5,5,4
15,1,5,21,1,1,1,3,3,typical,128,663,2,3,2,4,3,4
15,2,5,21,1,1,1,3,3,typical,173,508,2,1,2,6,3,3
15,3,5,21,1,1,1,3,3,typical,365,437,2,4,4,5,4,4
15,4,5,21,1,1,1,3,3,typical,377,417,1,4,4,3,5,5
15,5,5,21,1,1,1,3,3,typical,354,413,2,4,6,4,4,3
15,6,5,21,1,1,1,3,3,typical,354,406,1,4,6,4,5,4
15,7,5,21,1,1,1,3,3,typical,128,380,3,2,2,2,2,2
15,8,5,21,1,1,1,3,3,typical,173,371,3,3,3,3,2,2
15,9,5,21,1,1,1,3,3,typical,365,367,2,2,2,4,4,3
15,10,5,21,1,1,1,3,3,typical,377,354,3,1,1,1,1,1
15,11,5,21,1,1,1,3,3,typical,173,338,2,2,2,3,2,1
15,12,5,21,1,1,1,3,3,typical,377,333,2,4,3,2,2,2
15,13,5,21,1,1,1,3,3,typical,128,323,2,2,3,4,4,3
15,14,5,21,1,1,1,3,3,typical,354,319,2,8,5,4,4,4
15,15,5,21,1,1,1,3,3,typical,365,315,2,3,4,5,5,4
15,16,5,21,1,1,1,3,3,typical,128,199,2,4,4,4,3,3
15,17,5,21,1,1,1,3,3,typical,354,144,3,5,4,4,5,4
15,18,5,21,1,1,1,3,3,typical,173,121,1,2,3,3,3,3
15,19,5,21,1,1,1,3,3,typical,365,112,2,3,4,4,4,5
15,20,5,21,1,1,1,3,3,typical,377,103,3,2,2,2,2,2
16,1,2,23,1,1,4,2,5,typical,377,103,2,6,6,6,6,5
16,2,2,23,1,1,4,2,5,typical,365,122,3,7,7,7,6,4
16,3,2,23,1,1,4,2,5,typical,173,121,2,6,7,7,6,7
16,4,2,23,1,1,4,2,5,typical,354,144,2,6,7,7,6,6
16,5,2,23,1,1,4,2,5,typical,128,199,3,7,7,7,6,7
16,6,2,23,1,1,4,2,5,typical,365,315,3,7,7,7,6,4
16,7,2,23,1,1,4,2,5,typical,354,319,2,7,7,7,6,5
16,8,2,23,1,1,4,2,5,typical,128,323,2,7,6,7,5,4
16,9,2,23,1,1,4,2,5,typical,377,333,2,7,7,7,6,3
16,10,2,23,1,1,4,2,5,typical,173,338,2,7,7,7,6,5
16,11,2,23,1,1,4,2,5,typical,377,354,3,7,7,7,6,4
16,12,2,23,1,1,4,2,5,typical,365,367,3,6,6,6,6,6
16,13,2,23,1,1,4,2,5,typical,173,371,2,7,7,7,7,7
16,14,2,23,1,1,4,2,5,typical,128,380,3,7,6,7,5,2
16,15,2,23,1,1,4,2,5,typical,354,406,2,7,7,7,5,5
16,16,2,23,1,1,4,2,5,typical,354,413,2,7,7,6,5,3
16,17,2,23,1,1,4,2,5,typical,377,417,2,7,7,7,5,3
16,18,2,23,1,1,4,2,5,typical,365,437,2,7,7,7,5,6
16,19,2,23,1,1,4,2,5,typical,173,508,3,4,4,7,5,3
16,20,2,23,1,1,4,2,5,typical,128,663,2,7,7,3,5,4
17,1,4,55,1,1,4,4,2,atypical,128,663,1,4,4,5,5,5
17,2,4,55,1,1,4,4,2,atypical,173,508,1,6,6,6,6,6
17,3,4,55,1,1,4,4,2,atypical,365,437,2,6,6,6,6,6
17,4,4,55,1,1,4,4,2,atypical,377,417,1,7,7,8,8,6
17,5,4,55,1,1,4,4,2,atypical,354,413,1,7,8,7,7,6
17,6,4,55,1,1,4,4,2,atypical,354,406,3,7,7,7,7,6
17,7,4,55,1,1,4,4,2,atypical,128,380,1,4,4,5,5,5
17,8,4,55,1,1,4,4,2,atypical,173,371,1,5,6,5,5,5
17,9,4,55,1,1,4,4,2,atypical,365,367,2,6,5,5,6,5
